_id,Country,Project Name,Type,Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country_1,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,the_geom
196,Vietnam,Dak Psi 2B,Hydro,Operational,14,2018,,,,,,,,,,,14.8659,108.015,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E610000090A339B2F2005B40D219187959BB2D40
197,Vietnam,Dak Psi 3,Hydro,Operational,15,2012,Vietnam,Dak Psi Hydro Power Investment and Development JSC,,,,,Vietnam,Kon Tum,Đắk Hà,Sesan,14.6613,107.937,,60000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-psi-3,,0101000020E6100000728A8EE4F2FB5A408AB0E1E995522D40
198,Vietnam,Dak Psi 4,Hydro,Operational,30,2010,Vietnam,Dak Psi Hydro Power Investment and Development JSC,,,,,Vietnam,Kon Tum,Tu Mơ Rông,Sesan,14.7684,108.003,,115000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-psi-4-Hydropower,,0101000020E6100000C0EC9E3C2C005B40287E8CB96B892D40
199,Vietnam,Dak Psi 5,Hydro,Operational,10,2014,,,,,,,,,,,14.6608,107.938,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000008B8862F206FC5A40FCA9F1D24D522D40
200,Vietnam,Dak R'Tih,Hydro,Operational,144,2011,Vietnam,Construction Corporation No.1 Company Limited,,,,,Vietnam,Đắk Nông,Gia Nghĩa,Dong Nai,11.9902,107.66,,636800,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-rtih-Hydropower,,0101000020E6100000F54A598638EA5A4097FF907EFBFA2740
201,Vietnam,Dak Re,Hydro,Operational,60,2019,,,,,,,,,,,14.6045,108.486,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E6100000CB129D65161F5B400D6FD6E07D352D40
202,Vietnam,Dak Ro Sa,Hydro,Operational,7.5,2007,Vietnam,Mien Trung Construction Corporation,,,,,Vietnam,Kon Tum,Đắk Tô,Sesan,14.7473,107.836,,143000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ro-sa-Hydropower,,0101000020E6100000CC7F48BF7DF55A40029A081B9E7E2D40
203,Vietnam,Dak Ro Sa 2,Hydro,Operational,2.4,2012,Vietnam,Dak Ro Sa Hydropower JSC,,,,,Vietnam,Kon Tum,Đắk Tô,Sesan,14.7135,107.821,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ro-sa-2-Hydropower,,0101000020E6100000B8AF03E78CF45A405A643BDF4F6D2D40
204,Vietnam,Dak Ru,Hydro,Operational,7.5,2008,Vietnam,N&S Limited Liability Company,,,,,Vietnam,Đắk Nông,Tuy Đức,Dong Nai,11.9522,107.404,,40000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ru-Hydropower,,0101000020E6100000C442AD69DED95A409D8026C286E72740
205,Vietnam,Dak Rung 1,Hydro,Operational,6,2010,Vietnam,"Binh Minh Company, Ltd.",,,,,Vietnam,Đắk Nông,Đắk Song,Dong Nai,12.1139,107.634,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-rung-1-Hydropower,,0101000020E6100000B8AF03E78CE85A405F07CE19513A2840
